top_k,similarity_threshold,query,precision,recall,map,ndcg,retrieved_count,query_latency_ms
10,0.3,AI in healthcare,1.0,0.175,1.0,0.800693766409882,7,5.47
10,0.3,wireless communication,1.0,0.29411764705882354,1.0,0.6489315753318465,5,5.43
10,0.3,digital libraries,1.0,0.16666666666666666,1.0,1.0,10,5.14
10,0.3,renewable energy storage,1.0,0.625,1.0,0.7457912185292983,5,6.24
10,0.3,OCR for scanned theses,0.3333333333333333,0.1111111111111111,1.0,0.23504554941448536,3,7.65
10,0.3,semantic search,0.9,0.1875,1.0,0.9363792118010483,10,7.18
10,0.35,AI in healthcare,1.0,0.075,1.0,0.4690000933206748,3,6.13
10,0.35,wireless communication,1.0,0.23529411764705882,1.0,0.5637884576902256,4,6.34
10,0.35,digital libraries,1.0,0.16666666666666666,1.0,1.0,10,5.34
10,0.35,renewable energy storage,1.0,0.375,1.0,0.5390031312763821,3,8.03
10,0.35,OCR for scanned theses,0.5,0.1111111111111111,1.0,0.23504554941448536,2,8.05
10,0.35,semantic search,0.9,0.1875,1.0,0.9363792118010483,10,6.2
10,0.4,AI in healthcare,1.0,0.05,1.0,0.3589542101716347,2,7.63
10,0.4,wireless communication,1.0,0.17647058823529413,1.0,0.4690000933206748,3,7.82
10,0.4,digital libraries,1.0,0.16666666666666666,1.0,1.0,10,7.32
10,0.4,renewable energy storage,1.0,0.375,1.0,0.5390031312763821,3,7.65
10,0.4,OCR for scanned theses,1.0,0.1111111111111111,1.0,0.23504554941448536,1,7.96
10,0.4,semantic search,0.9,0.1875,1.0,0.9363792118010483,10,6.1
15,0.0,AI in healthcare,0.8666666666666667,0.325,0.9540997464074389,0.903092638048194,15,7.04
15,0.0,wireless communication,0.5333333333333333,0.47058823529411764,0.8462121212121212,0.642593971919894,15,5.99
15,0.0,digital libraries,0.9333333333333333,0.23333333333333334,0.9846415489272633,0.9538948797241021,15,6.39
15,0.0,renewable energy storage,0.4,0.75,1.0,0.8358912271816661,15,6.08
15,0.0,OCR for scanned theses,0.2,0.3333333333333333,0.456043956043956,0.3569419482492312,15,6.37
15,0.0,semantic search,0.9333333333333333,0.2916666666666667,0.9721956614813757,0.9506828759500645,15,6.15
15,0.15,AI in healthcare,0.8666666666666667,0.325,0.9540997464074389,0.903092638048194,15,6.1
15,0.15,wireless communication,0.5333333333333333,0.47058823529411764,0.8462121212121212,0.642593971919894,15,6.4
15,0.15,digital libraries,0.9333333333333333,0.23333333333333334,0.9846415489272633,0.9538948797241021,15,6.41
15,0.15,renewable energy storage,0.42857142857142855,0.75,1.0,0.8358912271816661,14,8.12
15,0.15,OCR for scanned theses,0.2,0.3333333333333333,0.456043956043956,0.3569419482492312,15,6.62
15,0.15,semantic search,0.9333333333333333,0.2916666666666667,0.9721956614813757,0.9506828759500645,15,6.18
15,0.2,AI in healthcare,0.8666666666666667,0.325,0.9540997464074389,0.903092638048194,15,6.48
15,0.2,wireless communication,0.5555555555555556,0.29411764705882354,1.0,0.5030343053984369,9,8.08
15,0.2,digital libraries,0.9333333333333333,0.23333333333333334,0.9846415489272633,0.9538948797241021,15,6.09
15,0.2,renewable energy storage,0.75,0.75,1.0,0.8358912271816661,8,9.21
15,0.2,OCR for scanned theses,0.2,0.3333333333333333,0.456043956043956,0.3569419482492312,15,9.24
15,0.2,semantic search,0.9333333333333333,0.2916666666666667,0.9721956614813757,0.9506828759500645,15,8.16
15,0.25,AI in healthcare,0.8333333333333334,0.25,0.9833333333333334,0.7719611030996699,12,13.46
15,0.25,wireless communication,1.0,0.29411764705882354,1.0,0.5030343053984369,5,10.62
15,0.25,digital libraries,0.9333333333333333,0.23333333333333334,0.9846415489272633,0.9538948797241021,15,6.02
15,0.25,renewable energy storage,1.0,0.75,1.0,0.8358912271816661,6,12.98
15,0.25,OCR for scanned theses,0.125,0.1111111111111111,1.0,0.23504554941448536,8,9.67
15,0.25,semantic search,0.9333333333333333,0.2916666666666667,0.9721956614813757,0.9506828759500645,15,6.47
15,0.3,AI in healthcare,1.0,0.175,1.0,0.6206762745623587,7,8.45
15,0.3,wireless communication,1.0,0.29411764705882354,1.0,0.5030343053984369,5,8.98
15,0.3,digital libraries,0.9333333333333333,0.23333333333333334,0.9846415489272633,0.9538948797241021,15,6.69
15,0.3,renewable energy storage,1.0,0.625,1.0,0.7457912185292983,5,9.68
15,0.3,OCR for scanned theses,0.3333333333333333,0.1111111111111111,1.0,0.23504554941448536,3,8.72
15,0.3,semantic search,0.9333333333333333,0.2916666666666667,0.9721956614813757,0.9506828759500645,15,6.14
15,0.35,AI in healthcare,1.0,0.075,1.0,0.3635562594634462,3,7.91
15,0.35,wireless communication,1.0,0.23529411764705882,1.0,0.4370336503672679,4,8.65
15,0.35,digital libraries,0.9333333333333333,0.23333333333333334,0.9846415489272633,0.9538948797241021,15,6.46
15,0.35,renewable energy storage,1.0,0.375,1.0,0.5390031312763821,3,8.32
15,0.35,OCR for scanned theses,0.5,0.1111111111111111,1.0,0.23504554941448536,2,8.68
15,0.35,semantic search,0.9333333333333333,0.2916666666666667,0.9721956614813757,0.9506828759500645,15,6.94
15,0.4,AI in healthcare,1.0,0.05,1.0,0.27825165032414384,2,8.35
15,0.4,wireless communication,1.0,0.17647058823529413,1.0,0.3635562594634462,3,8.06
15,0.4,digital libraries,0.9333333333333333,0.23333333333333334,0.9846415489272633,0.9538948797241021,15,6.78
15,0.4,renewable energy storage,1.0,0.375,1.0,0.5390031312763821,3,8.09
